Account Name,Var 1,Var 2,Var 3,Var N,01/2018,02/2018,03/2018,04/2018,05/2018,06/2018,07/2018,08/2018,09/2018,10/2018,11/2018,12/2018,01/2019,02/2019,03/2019,04/2019,05/2019,06/2019,07/2019,08/2019,09/2019,10/2019,11/2019,12/2019,01/2020,02/2020,03/2020,04/2020,05/2020,06/2020,07/2020,08/2020,09/2020,10/2020,11/2020,12/2020,01/2021,02/2021,03/2021,04/2021,05/2021
11,APAC,Travel,Middle Market,,"$619,163","$619,163","$619,163","$619,163","$619,163","$619,163","$619,163","$619,163","$619,163","$619,163","$619,163","$619,163","$526,289","$526,289","$526,289","$526,289","$526,289","$526,289","$526,289","$526,289","$526,289","$526,289","$526,289","$526,289","$947,319","$947,319","$947,319","$947,319","$947,319","$947,319","$947,319","$947,319","$947,319","$947,319","$947,319","$947,319","$1,420,979","$1,420,979","$1,420,979","$1,420,979","$1,420,979"
12,APAC,Financial Services,Enterprise,,"$128,370","$128,370","$128,370","$128,370","$128,370","$128,370","$128,370","$128,370","$128,370","$128,370","$128,370","$128,370","$109,115","$109,115","$109,115","$109,115","$109,115","$109,115","$109,115","$109,115","$109,115","$109,115","$109,115","$109,115","$196,406","$196,406","$196,406","$196,406","$196,406","$196,406","$196,406","$196,406","$196,406","$196,406","$196,406","$196,406","$294,609","$294,609","$294,609","$294,609","$294,609"
13,APAC,Travel,SMB,,"$960,105","$960,105","$960,105","$960,105","$960,105","$960,105","$960,105","$960,105","$960,105","$960,105","$960,105","$960,105","$672,074","$672,074","$672,074","$672,074","$672,074","$672,074","$672,074","$672,074","$672,074","$672,074","$672,074","$672,074","$1,209,732","$1,209,732","$1,209,732","$1,209,732","$1,209,732","$1,209,732","$1,209,732","$1,209,732","$1,209,732","$1,209,732","$1,209,732","$1,209,732","$1,814,598","$1,814,598","$1,814,598","$1,814,598","$1,814,598"
14,APAC,Healthcare,Middle Market,,"$414,504","$414,504","$414,504","$414,504","$414,504","$414,504","$414,504","$414,504","$414,504","$414,504","$414,504","$414,504","$290,153","$290,153","$290,153","$290,153","$290,153","$290,153","$290,153","$290,153","$290,153","$290,153","$290,153","$290,153","$522,275","$522,275","$522,275","$522,275","$522,275","$522,275","$522,275","$522,275","$522,275","$522,275","$522,275","$522,275",$0,$0,$0,$0,$0
15,APAC,Travel,Enterprise,,"$360,025","$360,025","$360,025","$360,025","$360,025","$360,025","$360,025","$360,025","$360,025","$360,025","$360,025","$360,025","$252,018","$252,018","$252,018","$252,018","$252,018","$252,018","$252,018","$252,018","$252,018","$252,018","$252,018","$252,018","$453,632","$453,632","$453,632","$453,632","$453,632","$453,632","$453,632","$453,632","$453,632","$453,632","$453,632","$453,632",$0,$0,$0,$0,$0
16,North America,Financial Services,Enterprise,,"$964,616","$964,616","$964,616","$964,616","$964,616","$964,616","$964,616","$964,616","$964,616","$964,616","$964,616","$964,616","$675,231","$675,231","$675,231","$675,231","$675,231","$675,231","$675,231","$675,231","$675,231","$675,231","$675,231","$675,231","$573,947","$573,947","$573,947","$573,947","$573,947","$573,947","$573,947","$573,947","$573,947","$573,947","$573,947","$573,947",$0,$0,$0,$0,$0
17,North America,Healthcare,SMB,,,"$105,613","$105,613","$105,613","$105,613","$105,613","$105,613","$105,613","$105,613","$105,613","$105,613","$105,613","$105,613",$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
18,North America,Travel,Enterprise,,,"$487,123","$487,123","$487,123","$487,123","$487,123","$487,123","$487,123","$487,123","$487,123","$487,123","$487,123","$487,123","$1,461,369","$1,461,369","$1,461,369","$1,461,369","$1,461,369","$1,461,369","$1,461,369","$1,461,369","$1,461,369","$1,461,369","$1,461,369","$1,461,369","$1,461,369","$1,461,369","$1,461,369","$1,461,369","$1,461,369","$1,461,369","$1,461,369","$1,461,369","$1,461,369","$1,461,369","$1,461,369","$1,461,369","$1,461,369","$1,461,369","$1,461,369","$1,461,369"
19,EMEA,Healthcare,Enterprise,,,"$517,219","$517,219","$517,219","$517,219","$517,219","$517,219","$517,219","$517,219","$517,219","$517,219","$517,219","$517,219","$1,551,657","$1,551,657","$1,551,657","$1,551,657","$1,551,657","$1,551,657","$1,551,657","$1,551,657","$1,551,657","$1,551,657","$1,551,657","$1,551,657","$1,551,657","$1,551,657","$1,551,657","$1,551,657","$1,551,657","$1,551,657","$1,551,657","$1,551,657","$1,551,657","$1,551,657","$1,551,657","$1,551,657","$1,551,657","$1,551,657","$1,551,657","$1,551,657"
20,APAC,Healthcare,Middle Market,,,"$830,844","$830,844","$830,844","$830,844","$830,844","$830,844","$830,844","$830,844","$830,844","$830,844","$830,844","$830,844","$2,492,532","$2,492,532","$2,492,532","$2,492,532","$2,492,532","$2,492,532","$2,492,532","$2,492,532","$2,492,532","$2,492,532","$2,492,532","$2,492,532","$2,492,532","$2,492,532","$2,492,532","$2,492,532","$2,492,532","$2,492,532","$2,492,532","$2,492,532","$2,492,532","$2,492,532","$2,492,532","$2,492,532","$2,492,532","$2,492,532","$2,492,532","$2,492,532"
21,North America,Healthcare,Middle Market,,,"$856,969","$856,969","$856,969","$856,969","$856,969","$856,969","$856,969","$856,969","$856,969","$856,969","$856,969","$856,969","$771,272","$771,272","$771,272","$771,272","$771,272","$771,272","$771,272","$771,272","$771,272","$771,272","$771,272","$771,272","$771,272","$771,272","$771,272","$771,272","$771,272","$771,272","$771,272","$771,272","$771,272","$771,272","$771,272","$771,272","$771,272","$771,272","$771,272","$771,272"
22,APAC,Travel,Enterprise,,,"$611,701","$611,701","$611,701","$611,701","$611,701","$611,701","$611,701","$611,701","$611,701","$611,701","$611,701","$611,701","$550,531","$550,531","$550,531","$550,531","$550,531","$550,531","$550,531","$550,531","$550,531","$550,531","$550,531","$550,531","$550,531","$550,531","$550,531","$550,531","$550,531","$550,531","$550,531","$550,531","$550,531","$550,531","$550,531","$550,531","$550,531","$550,531","$550,531","$550,531"
23,APAC,Financial Services,Enterprise,,,,"$64,134","$64,134","$64,134","$64,134","$64,134","$64,134","$64,134","$64,134","$64,134","$64,134","$64,134","$64,134",$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
24,North America,Travel,Enterprise,,,,"$446,382","$446,382","$446,382","$446,382","$446,382","$446,382","$446,382","$446,382","$446,382","$446,382","$446,382","$446,382","$669,573","$669,573","$669,573","$669,573","$669,573","$669,573","$669,573","$669,573","$669,573","$669,573","$669,573","$669,573",$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
25,EMEA,Healthcare,Enterprise,,,,"$32,577","$32,577","$32,577","$32,577","$32,577","$32,577","$32,577","$32,577","$32,577","$32,577","$32,577","$32,577","$48,866","$48,866","$48,866","$48,866","$48,866","$48,866","$48,866","$48,866","$48,866","$48,866","$48,866","$48,866","$48,866","$48,866","$48,866","$48,866","$48,866","$48,866","$48,866","$48,866","$48,866","$48,866","$48,866","$48,866","$48,866","$48,866","$48,866"
26,APAC,Travel,Enterprise,,,,"$674,284","$674,284","$674,284","$674,284","$674,284","$674,284","$674,284","$674,284","$674,284","$674,284","$674,284","$674,284","$1,011,426","$1,011,426","$1,011,426","$1,011,426","$1,011,426","$1,011,426","$1,011,426","$1,011,426","$1,011,426","$1,011,426","$1,011,426","$1,011,426","$1,011,426","$1,011,426","$1,011,426","$1,011,426","$1,011,426","$1,011,426","$1,011,426","$1,011,426","$1,011,426","$1,011,426","$1,011,426","$1,011,426","$1,011,426","$1,011,426","$1,011,426"
27,APAC,Travel,Enterprise,,,,"$143,653","$143,653","$143,653","$143,653","$143,653","$143,653","$143,653","$143,653","$143,653","$143,653","$143,653","$143,653","$215,480","$215,480","$215,480","$215,480","$215,480","$215,480","$215,480","$215,480","$215,480","$215,480","$215,480","$215,480","$215,480","$215,480","$215,480","$215,480","$215,480","$215,480","$215,480","$215,480","$215,480","$215,480","$215,480","$215,480","$215,480","$215,480","$215,480"
28,APAC,Financial Services,Enterprise,,,,"$313,798","$313,798","$313,798","$313,798","$313,798","$313,798","$313,798","$313,798","$313,798","$313,798","$313,798","$313,798","$282,418","$282,418","$282,418","$282,418","$282,418","$282,418","$282,418","$282,418","$282,418","$282,418","$282,418","$282,418","$282,418","$282,418","$282,418","$282,418","$282,418","$282,418","$282,418","$282,418","$282,418","$282,418","$282,418","$282,418","$282,418","$282,418","$282,418"
29,APAC,Financial Services,SMB,,,,"$59,907","$59,907","$59,907","$59,907","$59,907","$59,907","$59,907","$59,907","$59,907","$59,907","$59,907","$59,907","$59,907","$59,907","$59,907","$59,907","$59,907","$59,907","$59,907","$59,907","$59,907","$59,907","$59,907","$59,907","$59,907","$59,907","$59,907","$59,907","$59,907","$59,907","$59,907","$59,907","$59,907","$59,907","$59,907","$59,907","$59,907","$59,907","$59,907"
30,APAC,Travel,Enterprise,,,,"$708,453","$708,453","$708,453","$708,453","$708,453","$708,453","$708,453","$708,453","$708,453","$708,453","$708,453","$708,453","$708,453","$708,453","$708,453","$708,453","$708,453","$708,453","$708,453","$708,453","$708,453","$708,453","$708,453","$708,453","$708,453","$708,453","$708,453","$708,453","$708,453","$708,453","$708,453","$708,453","$708,453","$708,453","$708,453","$708,453","$708,453","$708,453","$708,453"
31,APAC,Travel,Enterprise,,,,,"$328,031","$328,031","$328,031","$328,031","$328,031","$328,031","$328,031","$328,031","$328,031","$328,031","$328,031","$328,031",$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
32,APAC,Financial Services,SMB,,,,,"$792,758","$792,758","$792,758","$792,758","$792,758","$792,758","$792,758","$792,758","$792,758","$792,758","$792,758","$792,758",$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
33,APAC,Financial Services,Enterprise,,,,,"$558,303","$558,303","$558,303","$558,303","$558,303","$558,303","$558,303","$558,303","$558,303","$558,303","$558,303","$558,303",$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
34,APAC,Healthcare,Enterprise,,,,,"$722,585","$722,585","$722,585","$722,585","$722,585","$722,585","$722,585","$722,585","$722,585","$722,585","$722,585","$722,585",$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
35,North America,Financial Services,SMB,,,,,"$280,885","$280,885","$280,885","$280,885","$280,885","$280,885","$280,885","$280,885","$280,885","$280,885","$280,885","$280,885",$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
36,EMEA,Healthcare,Middle Market,,,,,"$268,982","$268,982","$268,982","$268,982","$268,982","$268,982","$268,982","$268,982","$268,982","$268,982","$268,982","$268,982",$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
37,APAC,Travel,SMB,,,,,"$997,232","$997,232","$997,232","$997,232","$997,232","$997,232","$997,232","$997,232","$997,232","$997,232","$997,232","$997,232","$1,695,294","$1,695,294","$1,695,294","$1,695,294","$1,695,294","$1,695,294","$1,695,294","$1,695,294","$1,695,294","$1,695,294","$1,695,294","$1,695,294",$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
38,North America,Travel,SMB,,,,,"$666,767","$666,767","$666,767","$666,767","$666,767","$666,767","$666,767","$666,767","$666,767","$666,767","$666,767","$666,767","$933,474","$933,474","$933,474","$933,474","$933,474","$933,474","$933,474","$933,474","$933,474","$933,474","$933,474","$933,474",$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
39,EMEA,Travel,Enterprise,,,,,"$377,171","$377,171","$377,171","$377,171","$377,171","$377,171","$377,171","$377,171","$377,171","$377,171","$377,171","$377,171","$490,322","$490,322","$490,322","$490,322","$490,322","$490,322","$490,322","$490,322","$490,322","$490,322","$490,322","$490,322",$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
40,North America,Financial Services,Middle Market,,,,,"$186,965","$186,965","$186,965","$186,965","$186,965","$186,965","$186,965","$186,965","$186,965","$186,965","$186,965","$186,965","$186,965","$186,965","$186,965","$186,965","$186,965","$186,965","$186,965","$186,965","$186,965","$186,965","$186,965","$186,965",$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
41,EMEA,Financial Services,Enterprise,,,,,"$35,343","$35,343","$35,343","$35,343","$35,343","$35,343","$35,343","$35,343","$35,343","$35,343","$35,343","$35,343","$35,343","$35,343","$35,343","$35,343","$35,343","$35,343","$35,343","$35,343","$35,343","$35,343","$35,343","$35,343",$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
42,North America,Healthcare,SMB,,,,,"$417,823","$417,823","$417,823","$417,823","$417,823","$417,823","$417,823","$417,823","$417,823","$417,823","$417,823","$417,823","$417,823","$417,823","$417,823","$417,823","$417,823","$417,823","$417,823","$417,823","$417,823","$417,823","$417,823","$417,823","$417,823","$417,823","$417,823","$417,823","$417,823","$417,823","$417,823","$417,823","$417,823","$417,823","$417,823","$417,823","$459,605","$459,605"
43,APAC,Healthcare,Enterprise,,,,,"$105,027","$105,027","$105,027","$105,027","$105,027","$105,027","$105,027","$105,027","$105,027","$105,027","$105,027","$105,027","$105,027","$105,027","$105,027","$105,027","$105,027","$105,027","$105,027","$105,027","$105,027","$105,027","$105,027","$105,027","$105,027","$105,027","$105,027","$105,027","$105,027","$105,027","$105,027","$105,027","$105,027","$105,027","$105,027","$105,027","$115,530","$115,530"
44,APAC,Travel,Enterprise,,,,,"$208,054","$208,054","$208,054","$208,054","$208,054","$208,054","$208,054","$208,054","$208,054","$208,054","$208,054","$208,054","$208,054","$208,054","$208,054","$208,054","$208,054","$208,054","$208,054","$208,054","$208,054","$208,054","$208,054","$208,054","$208,054","$208,054","$208,054","$208,054","$208,054","$208,054","$208,054","$208,054","$208,054","$208,054","$208,054","$208,054","$228,859","$228,859"
45,APAC,Financial Services,Enterprise,,,,,"$125,528","$125,528","$125,528","$125,528","$125,528","$125,528","$125,528","$125,528","$125,528","$125,528","$125,528","$125,528","$125,528","$125,528","$125,528","$125,528","$125,528","$125,528","$125,528","$125,528","$125,528","$125,528","$125,528","$125,528","$125,528","$125,528","$125,528","$125,528","$125,528","$125,528","$125,528","$125,528","$125,528","$125,528","$125,528","$125,528","$138,081","$138,081"
46,APAC,Healthcare,Enterprise,,,,,"$404,382","$404,382","$404,382","$404,382","$404,382","$404,382","$404,382","$404,382","$404,382","$404,382","$404,382","$404,382","$404,382","$404,382","$404,382","$404,382","$404,382","$404,382","$404,382","$404,382","$404,382","$404,382","$404,382","$404,382","$404,382","$404,382","$404,382","$404,382","$404,382","$404,382","$404,382","$404,382","$404,382","$404,382","$404,382","$404,382","$444,820","$444,820"
47,APAC,Healthcare,Middle Market,,,,,"$352,460","$352,460","$352,460","$352,460","$352,460","$352,460","$352,460","$352,460","$352,460","$352,460","$352,460","$352,460","$352,460","$352,460","$352,460","$352,460","$352,460","$352,460","$352,460","$352,460","$352,460","$352,460","$352,460","$352,460","$352,460","$352,460","$352,460","$352,460","$352,460","$352,460","$352,460","$352,460","$352,460","$352,460","$352,460","$352,460","$387,706","$387,706"
48,North America,Financial Services,Enterprise,,,,,"$926,990","$926,990","$926,990","$926,990","$926,990","$926,990","$926,990","$926,990","$926,990","$926,990","$926,990","$926,990","$926,990","$926,990","$926,990","$926,990","$926,990","$926,990","$926,990","$926,990","$926,990","$926,990","$926,990","$926,990","$926,990","$926,990","$926,990","$926,990","$926,990","$926,990","$926,990","$926,990","$926,990","$926,990","$926,990","$926,990","$1,019,689","$1,019,689"
49,APAC,Financial Services,Enterprise,,,,,"$966,892","$966,892","$966,892","$966,892","$966,892","$966,892","$966,892","$966,892","$966,892","$966,892","$966,892","$966,892","$1,450,338","$1,450,338","$1,450,338","$1,450,338","$1,450,338","$1,450,338","$1,450,338","$1,450,338","$1,450,338","$1,450,338","$1,450,338","$1,450,338","$1,595,372","$1,595,372","$1,595,372","$1,595,372","$1,595,372","$1,595,372","$1,595,372","$1,595,372","$1,595,372","$1,595,372","$1,595,372","$1,595,372","$1,754,909","$1,754,909"
50,APAC,Financial Services,Enterprise,,,,,"$60,799","$60,799","$60,799","$60,799","$60,799","$60,799","$60,799","$60,799","$60,799","$60,799","$60,799","$60,799","$60,799","$60,799","$60,799","$60,799","$60,799","$60,799","$60,799","$60,799","$60,799","$60,799","$60,799","$60,799","$66,879","$66,879","$66,879","$66,879","$66,879","$66,879","$66,879","$66,879","$66,879","$66,879","$66,879","$66,879","$73,567","$73,567"
51,APAC,Financial Services,Middle Market,,,,,"$221,734","$221,734","$221,734","$221,734","$221,734","$221,734","$221,734","$221,734","$221,734","$221,734","$221,734","$221,734","$243,907","$243,907","$243,907","$243,907","$243,907","$243,907","$243,907","$243,907","$243,907","$243,907","$243,907","$243,907","$268,298","$268,298","$268,298","$268,298","$268,298","$268,298","$268,298","$268,298","$268,298","$268,298","$268,298","$268,298","$295,128","$295,128"
52,EMEA,Financial Services,SMB,,,,,"$689,834","$689,834","$689,834","$689,834","$689,834","$689,834","$689,834","$689,834","$689,834","$689,834","$689,834","$689,834","$758,817","$758,817","$758,817","$758,817","$758,817","$758,817","$758,817","$758,817","$758,817","$758,817","$758,817","$758,817","$834,699","$834,699","$834,699","$834,699","$834,699","$834,699","$834,699","$834,699","$834,699","$834,699","$834,699","$834,699","$918,169","$918,169"
53,North America,Travel,Middle Market,,,,,,"$306,239","$306,239","$306,239","$306,239","$306,239","$306,239","$306,239","$306,239","$306,239","$306,239","$306,239","$306,239","$306,239","$306,239","$306,239","$306,239","$306,239","$306,239","$306,239","$306,239","$306,239","$306,239","$306,239","$306,239","$306,239","$306,239","$306,239","$306,239","$306,239","$306,239","$306,239","$306,239","$306,239","$306,239","$306,239","$306,239","$306,239"
54,APAC,Healthcare,Enterprise,,,,,,"$519,118","$519,118","$519,118","$519,118","$519,118","$519,118","$519,118","$519,118","$519,118","$519,118","$519,118","$519,118","$519,118","$519,118","$519,118","$519,118","$519,118","$519,118","$519,118","$519,118","$519,118","$519,118","$519,118","$519,118","$519,118","$519,118","$519,118","$519,118","$519,118","$519,118","$519,118","$519,118","$519,118","$519,118","$519,118","$519,118","$519,118"
55,APAC,Travel,Enterprise,,,,,,"$215,249","$215,249","$215,249","$215,249","$215,249","$215,249","$215,249","$215,249","$215,249","$215,249","$215,249","$215,249","$215,249","$215,249","$215,249","$215,249","$215,249","$215,249","$215,249","$215,249","$215,249","$215,249","$215,249","$215,249","$215,249","$215,249","$215,249","$215,249","$215,249","$215,249","$215,249","$215,249","$215,249","$215,249","$215,249","$215,249","$215,249"
56,APAC,Healthcare,Middle Market,,,,,,"$854,547","$854,547","$854,547","$854,547","$854,547","$854,547","$854,547","$854,547","$854,547","$854,547","$854,547","$854,547","$854,547","$854,547","$854,547","$854,547","$854,547","$854,547","$854,547","$854,547","$854,547","$854,547","$854,547","$854,547","$854,547","$854,547","$854,547","$854,547","$854,547","$854,547","$854,547","$854,547","$854,547","$854,547","$854,547","$854,547","$854,547"
57,EMEA,Travel,SMB,,,,,,"$599,266","$599,266","$599,266","$599,266","$599,266","$599,266","$599,266","$599,266","$599,266","$599,266","$599,266","$599,266","$599,266","$599,266","$599,266","$599,266","$599,266","$599,266","$599,266","$599,266","$599,266","$599,266","$599,266","$599,266","$599,266","$599,266","$599,266","$599,266","$599,266","$599,266","$599,266","$599,266","$599,266","$599,266","$599,266","$599,266","$599,266"
58,APAC,Healthcare,Middle Market,,,,,,,"$222,002","$222,002","$222,002","$222,002","$222,002","$222,002","$222,002","$222,002","$222,002","$222,002","$222,002","$222,002",$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
59,APAC,Travel,Enterprise,,,,,,,"$318,506","$318,506","$318,506","$318,506","$318,506","$318,506","$318,506","$318,506","$318,506","$318,506","$318,506","$318,506",$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
60,EMEA,Travel,Enterprise,,,,,,,"$532,205","$532,205","$532,205","$532,205","$532,205","$532,205","$532,205","$532,205","$532,205","$532,205","$532,205","$532,205",$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
61,APAC,Financial Services,Enterprise,,,,,,,"$575,193","$575,193","$575,193","$575,193","$575,193","$575,193","$575,193","$575,193","$575,193","$575,193","$575,193","$575,193",$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
62,APAC,Travel,Middle Market,,,,,,,,"$726,815","$726,815","$726,815","$726,815","$726,815","$726,815","$726,815","$726,815","$726,815","$726,815","$726,815","$726,815","$799,497","$799,497","$799,497","$799,497","$799,497","$799,497","$799,497","$799,497","$799,497","$799,497","$799,497","$799,497","$639,597","$639,597","$639,597","$639,597","$639,597","$639,597","$639,597","$639,597","$639,597","$639,597","$639,597"
63,North America,Travel,Middle Market,,,,,,,,"$788,529","$788,529","$788,529","$788,529","$788,529","$788,529","$788,529","$788,529","$788,529","$788,529","$788,529","$788,529","$867,382","$867,382","$867,382","$867,382","$867,382","$867,382","$867,382","$867,382","$867,382","$867,382","$867,382","$867,382","$693,906","$693,906","$693,906","$693,906","$693,906","$693,906","$693,906","$693,906","$693,906","$693,906","$693,906"
64,APAC,Healthcare,Enterprise,,,,,,,,"$102,058","$102,058","$102,058","$102,058","$102,058","$102,058","$102,058","$102,058","$102,058","$102,058","$102,058","$102,058","$112,264","$112,264","$112,264","$112,264","$112,264","$112,264","$112,264","$112,264","$112,264","$112,264","$112,264","$112,264","$89,811","$89,811","$89,811","$89,811","$89,811","$89,811","$89,811","$89,811","$89,811","$89,811","$89,811"
65,APAC,Travel,SMB,,,,,,,,"$118,061","$118,061","$118,061","$118,061","$118,061","$118,061","$118,061","$118,061","$118,061","$118,061","$118,061","$118,061","$129,867","$129,867","$129,867","$129,867","$129,867","$129,867","$129,867","$129,867","$129,867","$129,867","$129,867","$129,867","$103,894","$103,894","$103,894","$103,894","$103,894","$103,894","$103,894","$103,894","$103,894","$103,894","$103,894"
